"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 27 23:10:23 GMT 2025","Thu Mar 27 23:10:23 GMT 2025","356","chromium","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu Mar 27 23:10:23 GMT 2025","Thu Mar 27 23:10:23 GMT 2025","397","chromium","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu Mar 27 23:10:22 GMT 2025","Thu Mar 27 23:10:22 GMT 2025","146","chromium","e2e/loginTEST.spec.ts","","","","log in page",""
"passed","Thu Mar 27 23:10:27 GMT 2025","Thu Mar 27 23:10:27 GMT 2025","681","webkit","tests-examples/demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu Mar 27 23:10:21 GMT 2025","Thu Mar 27 23:10:21 GMT 2025","636","chromium","e2e/example.spec.ts","","","","get started link",""
"passed","Thu Mar 27 23:10:25 GMT 2025","Thu Mar 27 23:10:26 GMT 2025","830","webkit","tests-examples/demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Thu Mar 27 23:10:53 GMT 2025","Thu Mar 27 23:10:53 GMT 2025","574","firefox","e2e/login.spec.ts","","","","log in page 2",""
"passed","Thu Mar 27 23:10:23 GMT 2025","Thu Mar 27 23:10:28 GMT 2025","4812","firefox","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"passed","Thu Mar 27 23:10:24 GMT 2025","Thu Mar 27 23:10:24 GMT 2025","317","chromium","tests-examples/demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Thu Mar 27 23:10:31 GMT 2025","Thu Mar 27 23:10:32 GMT 2025","1031","webkit","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Thu Mar 27 23:10:43 GMT 2025","Thu Mar 27 23:10:43 GMT 2025","494","webkit","e2e/login.spec.ts","","","","log in page 2",""
"passed","Thu Mar 27 23:10:28 GMT 2025","Thu Mar 27 23:10:29 GMT 2025","677","firefox","tests-examples/demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Thu Mar 27 23:10:24 GMT 2025","Thu Mar 27 23:10:24 GMT 2025","346","chromium","tests-examples/demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Thu Mar 27 23:10:22 GMT 2025","Thu Mar 27 23:10:22 GMT 2025","157","chromium","e2e/signup.spec.ts","","","","sign up page 2",""
"passed","Thu Mar 27 23:10:54 GMT 2025","Thu Mar 27 23:10:55 GMT 2025","562","firefox","tests-examples/demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Thu Mar 27 23:10:55 GMT 2025","Thu Mar 27 23:10:55 GMT 2025","588","firefox","tests-examples/demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu Mar 27 23:10:22 GMT 2025","Thu Mar 27 23:10:22 GMT 2025","154","chromium","e2e/loginTEST.spec.ts","","","","log in page 2",""
"passed","Thu Mar 27 23:10:47 GMT 2025","Thu Mar 27 23:10:47 GMT 2025","434","chromium","tests-examples/demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Thu Mar 27 23:10:32 GMT 2025","Thu Mar 27 23:10:33 GMT 2025","857","firefox","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Thu Mar 27 23:10:34 GMT 2025","Thu Mar 27 23:10:35 GMT 2025","1196","webkit","tests-examples/demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Thu Mar 27 23:10:55 GMT 2025","Thu Mar 27 23:10:55 GMT 2025","614","firefox","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Thu Mar 27 23:10:23 GMT 2025","Thu Mar 27 23:10:23 GMT 2025","366","chromium","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Thu Mar 27 23:10:45 GMT 2025","Thu Mar 27 23:10:46 GMT 2025","745","chromium","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Thu Mar 27 23:10:21 GMT 2025","Thu Mar 27 23:10:22 GMT 2025","181","chromium","e2e/login.spec.ts","","","","log in page",""
"passed","Thu Mar 27 23:10:22 GMT 2025","Thu Mar 27 23:10:23 GMT 2025","303","chromium","tests-examples/demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Thu Mar 27 23:10:27 GMT 2025","Thu Mar 27 23:10:30 GMT 2025","2508","webkit","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu Mar 27 23:10:48 GMT 2025","Thu Mar 27 23:10:50 GMT 2025","1840","firefox","e2e/example.spec.ts","","","","get started link",""
"passed","Thu Mar 27 23:10:31 GMT 2025","Thu Mar 27 23:10:32 GMT 2025","874","firefox","tests-examples/demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Thu Mar 27 23:10:23 GMT 2025","Thu Mar 27 23:10:23 GMT 2025","358","chromium","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Thu Mar 27 23:10:31 GMT 2025","Thu Mar 27 23:10:32 GMT 2025","979","webkit","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"passed","Thu Mar 27 23:10:32 GMT 2025","Thu Mar 27 23:10:32 GMT 2025","700","firefox","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Thu Mar 27 23:10:22 GMT 2025","Thu Mar 27 23:10:22 GMT 2025","159","chromium","e2e/login.spec.ts","","","","log in page 2",""
"passed","Thu Mar 27 23:10:33 GMT 2025","Thu Mar 27 23:10:34 GMT 2025","1077","webkit","tests-examples/demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Thu Mar 27 23:10:55 GMT 2025","Thu Mar 27 23:10:56 GMT 2025","667","firefox","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu Mar 27 23:10:29 GMT 2025","Thu Mar 27 23:10:29 GMT 2025","657","firefox","tests-examples/demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Thu Mar 27 23:10:35 GMT 2025","Thu Mar 27 23:10:36 GMT 2025","1020","webkit","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Thu Mar 27 23:10:47 GMT 2025","Thu Mar 27 23:10:47 GMT 2025","333","chromium","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Thu Mar 27 23:10:29 GMT 2025","Thu Mar 27 23:10:30 GMT 2025","583","firefox","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Thu Mar 27 23:10:23 GMT 2025","Thu Mar 27 23:10:27 GMT 2025","4280","firefox","tests-examples/demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Thu Mar 27 23:10:47 GMT 2025","Thu Mar 27 23:10:48 GMT 2025","325","chromium","tests-examples/demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Thu Mar 27 23:10:32 GMT 2025","Thu Mar 27 23:10:33 GMT 2025","902","webkit","tests-examples/demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Thu Mar 27 23:10:25 GMT 2025","Thu Mar 27 23:10:26 GMT 2025","767","webkit","tests-examples/demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Thu Mar 27 23:10:37 GMT 2025","Thu Mar 27 23:10:38 GMT 2025","1269","webkit","tests-examples/demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Thu Mar 27 23:10:56 GMT 2025","Thu Mar 27 23:10:56 GMT 2025","609","firefox","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Thu Mar 27 23:10:45 GMT 2025","Thu Mar 27 23:10:45 GMT 2025","504","webkit","e2e/signup.spec.ts","","","","sign up page 2",""
"passed","Thu Mar 27 23:10:22 GMT 2025","Thu Mar 27 23:10:22 GMT 2025","391","chromium","tests-examples/demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Thu Mar 27 23:10:45 GMT 2025","Thu Mar 27 23:10:46 GMT 2025","751","chromium","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Thu Mar 27 23:10:22 GMT 2025","Thu Mar 27 23:10:22 GMT 2025","238","chromium","tests-examples/demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Thu Mar 27 23:10:29 GMT 2025","Thu Mar 27 23:10:31 GMT 2025","1263","webkit","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu Mar 27 23:10:46 GMT 2025","Thu Mar 27 23:10:47 GMT 2025","469","chromium","tests-examples/demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Thu Mar 27 23:10:44 GMT 2025","Thu Mar 27 23:10:45 GMT 2025","598","webkit","e2e/signup.spec.ts","","","","sign up page",""
"passed","Thu Mar 27 23:10:29 GMT 2025","Thu Mar 27 23:10:29 GMT 2025","658","firefox","tests-examples/demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Thu Mar 27 23:10:24 GMT 2025","Thu Mar 27 23:10:25 GMT 2025","273","chromium","tests-examples/demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Thu Mar 27 23:10:35 GMT 2025","Thu Mar 27 23:10:36 GMT 2025","971","webkit","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Thu Mar 27 23:10:55 GMT 2025","Thu Mar 27 23:10:56 GMT 2025","753","firefox","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Thu Mar 27 23:10:34 GMT 2025","Thu Mar 27 23:10:41 GMT 2025","6672","webkit","e2e/example.spec.ts","","","","get started link",""
"passed","Thu Mar 27 23:10:56 GMT 2025","Thu Mar 27 23:10:57 GMT 2025","614","firefox","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Thu Mar 27 23:10:23 GMT 2025","Thu Mar 27 23:10:24 GMT 2025","340","chromium","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
