"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 06 13:28:02 GMT 2025","Sun Apr 06 13:28:04 GMT 2025","2015","firefox","e2e/example.spec.ts","","","","get started link",""
"passed","Sun Apr 06 13:27:59 GMT 2025","Sun Apr 06 13:27:59 GMT 2025","381","chromium","tests-examples/demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Sun Apr 06 13:28:32 GMT 2025","Sun Apr 06 13:28:34 GMT 2025","1280","webkit","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Sun Apr 06 13:28:09 GMT 2025","Sun Apr 06 13:28:10 GMT 2025","726","firefox","tests-examples/demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Sun Apr 06 13:28:22 GMT 2025","Sun Apr 06 13:28:23 GMT 2025","828","webkit","e2e/signup.spec.ts","","","","sign up page 2",""
"passed","Sun Apr 06 13:28:01 GMT 2025","Sun Apr 06 13:28:01 GMT 2025","490","chromium","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Sun Apr 06 13:28:06 GMT 2025","Sun Apr 06 13:28:07 GMT 2025","623","firefox","tests-examples/demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
"passed","Sun Apr 06 13:28:16 GMT 2025","Sun Apr 06 13:28:21 GMT 2025","4799","webkit","e2e/example.spec.ts","","","","get started link",""
"passed","Sun Apr 06 13:28:23 GMT 2025","Sun Apr 06 13:28:24 GMT 2025","1003","webkit","tests-examples/demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Sun Apr 06 13:28:07 GMT 2025","Sun Apr 06 13:28:08 GMT 2025","773","firefox","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Sun Apr 06 13:28:35 GMT 2025","Sun Apr 06 13:28:37 GMT 2025","1474","webkit","tests-examples/demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Sun Apr 06 13:28:26 GMT 2025","Sun Apr 06 13:28:27 GMT 2025","1407","webkit","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Sun Apr 06 13:28:10 GMT 2025","Sun Apr 06 13:28:11 GMT 2025","730","firefox","tests-examples/demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Sun Apr 06 13:27:56 GMT 2025","Sun Apr 06 13:27:56 GMT 2025","211","chromium","e2e/loginTEST.spec.ts","","","","log in page 2",""
"passed","Sun Apr 06 13:27:55 GMT 2025","Sun Apr 06 13:27:56 GMT 2025","285","chromium","e2e/login.spec.ts","Login tests @loginTagTitle","","","log in page",""
"passed","Sun Apr 06 13:28:20 GMT 2025","Sun Apr 06 13:28:21 GMT 2025","865","webkit","e2e/login.spec.ts","Login tests @loginTagTitle","","","log in page 2",""
"passed","Sun Apr 06 13:27:58 GMT 2025","Sun Apr 06 13:27:59 GMT 2025","391","chromium","tests-examples/demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Sun Apr 06 13:28:32 GMT 2025","Sun Apr 06 13:28:33 GMT 2025","901","webkit","tests-examples/demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Sun Apr 06 13:27:56 GMT 2025","Sun Apr 06 13:27:56 GMT 2025","267","chromium","e2e/login.spec.ts","Login tests @loginTagTitle","","","log in page 2",""
"passed","Sun Apr 06 13:28:33 GMT 2025","Sun Apr 06 13:28:34 GMT 2025","1279","webkit","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Sun Apr 06 13:28:28 GMT 2025","Sun Apr 06 13:28:29 GMT 2025","1275","webkit","tests-examples/demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
