"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 27 22:47:39 GMT 2025","Thu Mar 27 22:47:39 GMT 2025","324","chromium","tests-examples/demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Thu Mar 27 22:46:58 GMT 2025","Thu Mar 27 22:46:59 GMT 2025","638","firefox","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Thu Mar 27 22:46:55 GMT 2025","Thu Mar 27 22:46:57 GMT 2025","2005","firefox","e2e/example.spec.ts","","","","get started link",""
"passed","Thu Mar 27 22:47:33 GMT 2025","Thu Mar 27 22:47:34 GMT 2025","557","chromium","e2e/example.spec.ts","","","","has title",""
"passed","Thu Mar 27 22:46:59 GMT 2025","Thu Mar 27 22:46:59 GMT 2025","470","firefox","e2e/signup.spec.ts","","","","sign up page 2",""
"passed","Thu Mar 27 22:47:31 GMT 2025","Thu Mar 27 22:47:32 GMT 2025","997","webkit","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Thu Mar 27 22:47:32 GMT 2025","Thu Mar 27 22:47:33 GMT 2025","992","webkit","tests-examples/demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Thu Mar 27 22:46:59 GMT 2025","Thu Mar 27 22:47:00 GMT 2025","675","firefox","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Thu Mar 27 22:47:00 GMT 2025","Thu Mar 27 22:47:01 GMT 2025","775","firefox","tests-examples/demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Thu Mar 27 22:46:58 GMT 2025","Thu Mar 27 22:46:59 GMT 2025","421","firefox","e2e/loginTEST.spec.ts","","","","log in page",""
"passed","Thu Mar 27 22:47:28 GMT 2025","Thu Mar 27 22:47:29 GMT 2025","929","webkit","tests-examples/demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Thu Mar 27 22:46:56 GMT 2025","Thu Mar 27 22:46:57 GMT 2025","721","firefox","tests-examples/demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Thu Mar 27 22:46:57 GMT 2025","Thu Mar 27 22:46:58 GMT 2025","615","firefox","tests-examples/demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Thu Mar 27 22:46:53 GMT 2025","Thu Mar 27 22:46:55 GMT 2025","1738","firefox","tests-examples/demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Thu Mar 27 22:47:23 GMT 2025","Thu Mar 27 22:47:26 GMT 2025","2666","webkit","tests-examples/demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Thu Mar 27 22:47:08 GMT 2025","Thu Mar 27 22:47:08 GMT 2025","352","webkit","e2e/login.spec.ts","","","","log in page",""
"passed","Thu Mar 27 22:47:28 GMT 2025","Thu Mar 27 22:47:29 GMT 2025","995","webkit","tests-examples/demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Thu Mar 27 22:46:55 GMT 2025","Thu Mar 27 22:46:56 GMT 2025","1661","firefox","e2e/example.spec.ts","","","","has title",""
"passed","Thu Mar 27 22:46:52 GMT 2025","Thu Mar 27 22:46:53 GMT 2025","444","chromium","tests-examples/demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Thu Mar 27 22:47:35 GMT 2025","Thu Mar 27 22:47:36 GMT 2025","1003","webkit","tests-examples/demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Thu Mar 27 22:46:53 GMT 2025","Thu Mar 27 22:46:53 GMT 2025","373","chromium","tests-examples/demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Thu Mar 27 22:47:00 GMT 2025","Thu Mar 27 22:47:01 GMT 2025","626","firefox","tests-examples/demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
